word,is_placeholder
embarcación,1
mezcla,1
pajero,1
coche,1
chiviento,1
flojo,1
satanás,1
vínculo,1
masada,1
confederación,1
fregar,1
botonazo,1
alquería,1
soldadura,1
luchar,1
cohesión,1
corchete,1
liza,1
pandilla,1
bajel,1
renguear,1
botonadura,1
dardo,1
entremetido,1
abrogar,1
sociedad,1
eliminar,1
corco,1
peñón,1
interruptor,1
revocar,1
eliminar,1
anular,1
fijón,1
curioso,1
agarrarse,1
escudo,1
diablo,1
nao,1
casamiento,1
amonestar,1
cuadrilla,1
cursar,1
sindicato,1
voyerista,1
aviar,1
engalanar,1
barco,1
mújol,1
trabazón,1
finca,1
liga,1
abrasar,1
regañar,1
átono,1
exánime,1
aliñar,1
roca,1
ánade,1
cotilla,1
amojonar,1
chivero,1
espectador,1
pelear,1
boletero,1
reconvenir,1
estriado,1
alianza,1
clavija,1
breca,1
adherencia,1
desecho,1
bañar,1
frágil,1
carro,1
decaído,1
albur,1
hermanamiento,1
raspar,1
desterrar,1
centella,1
rayado,1
invalidar,1
globero,1
remesar,1
reprender,1
sirifique,1
enclenque,1
aguzado,1
cabezudo,1
quemar,1
piedra,1
defensa,1
cotilla,1
amalgama,1
chiva,1
desperdicio,1
regañar,1
limpiar,1
bocón,1
curro,1
batidor,1
sermonear,1
batilana,1
patrocinio,1
peñasco,1
lijar,1
rebús,1
agur,1
punzante,1
diligenciar,1
tecla,1
lucifer,1
chicharrón,1
hitar,1
discutir,1
maridaje,1
quemar,1
abur,1
empalme,1
correspondencia,1
afilado,1
automático,1
mojonar,1
gestionar,1
boto,1
lavar,1
turón,1
blandengue,1
legrar,1
pegarse,1
unidad,1
endeble,1
panda,1
nave,1
tubería,1
chismoso,1
manyaoreja,1
rejús,1
borrar,1
despachar,1
brochón,1
coalición,1
pimpollo,1
disputar,1
tubo,1
lisa,1
facturar,1
boda,1
apoyo,1
desmadejado,1
chivato,1
nupcias,1
cancelar,1
pato,1
demonio,1
acuerdo,1
amparo,1
voyeur,1
mustélido,1
capitón,1
acicalar,1
mule,1
fusión,1
chao,1
fisgón,1
bota,1
limar,1
automóvil,1
fuñingue,1
mando,1
articulación,1
ataviar,1
higienizar,1
nexo,1
pulir,1
abroncar,1
cojear,1
fisgón,1
conformidad,1
arreglar,1
capullo,1
pulsador,1
abrasar,1
guayabo,1
cerro,1
llamador,1
enviar,1
adecentar,1
delator,1
consonancia,1
esponsales,1
canalado,1
enfrentarse,1
junta,1
increpar,1
protección,1
navío,1
caserío,1
extinguir,1
asociación,1
entrometido,1
aleación,1
mugle,1
broquel,1
curioso,1
máquina,1
guayabo,1
tramitar,1
atónico,1
mandar,1
matrimonio,1
abotonadura,1
concordia,1
observador,1
himeneo,1
acoplamiento,1
quinta,1
ranúnculo,1
maligno,1
renquear,1
chau,1
agregación,1
acanalado,1
risco,1
sirifico,1
suprimir,1
delicado,1
tutela,1
cierre,1
instruir,1
ponededo,1
remitir,1
junta,1
puntiagudo,1
derogar,1
mentiroso,1
enzarzar,1
muble,1
parro,1
disgustarse,1
club,1
círculo,1
apartado,1
enemistarse,1
timorato,1
pusilánime,1
retraído,1
inseguro,1
calzonazos,1
gema,1
romper,1
enfadarse,1
yema,1
huraño,1
introvertido,1
dúctil,1
afable,1
huidizo,1
insociable,1
misántropo,1
retoño,1
brote,1
cobarde,1
brote,1
brota,1
sumiso,1
manso,1
tímido,1
renuevo,1
pitón,1
indisponerse,1
gromo,1
blando,1
esquivo,1
furo,1
accesible,1
obediente,1
disciplinado,1
broto,1
maleable,1
gracia,1
chingo,1
bolón,1
generosidad,1
forcejear,1
satén,1
origen,1
donosura,1
rechazar,1
prueba,1
trasegar,1
güecho,1
aljofaina,1
