word,status
ABACÁ,true
ÁBACO,true
ABADÍ,true
ABA,true
ABADA,true
ABANO,true
AMAÑAR,true
ATAÑER,true
ABASÍ,true
ABATIR,true
ABECÉ,true
ABARSE,true
ABITAR,true
AVENIR,true
ABOLIR,true
ABOBAR,true
ABRIGAR,true
ABRA,true
ÁCANA,true
ACHÍN,true
ACHÍ,true
ABIAR,true
ÁCIDO,true
ARIJE,null
ÁCIMO,true
ACIÓN,true
ACAMAR,true
ACLE,true
ACOGER,true
ACROY,true
ACTUAR,true
ACTUAL,true
ACUDIR,true
ÁCUEO,true
ACUTÍ,true
ADAMAR,true
ADIANO,true
ABIA,true
ADIAR,true
ADIÓS,true
ADUCIR,true
ADURIR,true
AÉREO,true
ÁFACA,true
AFACER,true
AFAMAR,true
ACARAR,true
AFATE,true
AFICHE,true
AFIJAR,true
AFLUIR,true
ABOGAR,true
ÁFONO,true
ADUFE,true
AFOFARSE,true
ASUMIR,true
AGAMÍ,true
AFANAR,true
AGACE,true
ÁGAPE,true
ÁGATA,true
AFORE,true
ACORARSE,true
AGUAÍ,true
AGUAR,true
AGRE,true
AGUÍN,true
AGRIAR,true
AGUTÍ,true
ABAJAR,true
AHIJAR,true
AFILAR,true
AHILAR,true
AHÍNA,true
AHITAR,true
ACHUMA,true
AHUMAR,true
ABUSAR,true
AÍLLO,true
AÍNAS,true
ABRIR,true
AIRÓN,true
AISLAR,true
AJAR,true
AJEAR,true
ALABAR,true
ALAJÚ,true
ALA,true
ÁLAMO,true
ALAUÍ,true
ALBÍN,true
ÁLBUM,true
ALEA,true
ALHELÍ,true
ALGUND,true
ALEAR,true
ÁLICA,true
ALCE,true
ÁLIMO,true
AGUA,true
ALUDIR,true
ÁLULA,true
ÁLVEO,true
AMAR,true
ÁMBAR,true
AMBÓN,true
A,true
AMAINAR,true
AMIRÍ,true
AMOVER,true
AMPÓN,true
AMARO,true
AMBRE,true
AMARAR,true
ANABÍ,true
ÁNADE,true
ANAMÚ,true
ANCÓN,true
ANDÓN,true
AFEAR,true
ÁNGEL,true
ANGÚ,true
ANIÓN,true
ÁNODO,true
ÁNSAR,true
ANSIA,true
ANGIO,true
AÑADA,true
AÑADIR,true
ANIDAR,true
APA,true
APEAR,true
ÁPICE,true
API,true
APRÉS,true
ÁRABE,true
ARABÍ,true
ARAR,true
ARASÁ,true
ARAZÁ,true
ÁRBOL,true
ÁRBOR,true
ARCÉN,true
ARCÓN,true
ÁRDEA,true
ARDER,true
ARGÁN,true
ARGÉN,true
ARGÓN,true
ARGUE,true
ÁRIDO,true
ARMÓN,true
ARNÉS,true
ARPÍA,true
ARPÓN,true
ARRIA,true
ARDUO,true
ARRUÍ,true
ÁRULA,true
ARZÓN,true
ASAR,true
ÁSARO,true
ÁSCAR,true
ASEAR,true
ASICAR,true
ASIR,true
ABONAR,true
APONER,true
ÁSPIC,true
ÁSPID,true
ATAR,true
ATACAR,true
ATABE,true
ATAÚD,true
ATERIR,true
ÁTICO,true
ÁTOMO,true
ÁTONO,true
ATRÁS,true
ACLLA,true
AULLAR,true
ACUNAR,true
ARPAR,true
ARPA,true
ALPES,true
