word,status,calification,definition,word_length,language
ABACÁ,true,"""nombre masculino""","""Planta de la familia de las musáceas de unos tres metros de altura originaria de y de cuyo tronco se saca un filamento textil""",5,esp
ÁBACO,true,"""nombre masculino""","""Bastidor con cuerdas o alambres paralelos y en cada uno de ellos bolas móviles usado para operaciones elementales de aritmética contador numerador""",5,esp
ABADÍ,true,"""adjetivo""","""Descendiente de fundador del reino de taifas de en el siglo""",5,esp
ABA,true,"""interjección""","""cuidado.""",3,esp
ABADA,true,"""nombre femenino desusado""","""rinoceronte.""",5,esp
ABANO,true,"""nombre masculino poco usado""","""instrumento de varillas abanico paipay perico1 pericón ventalle aventador soplador pantalla""",5,esp
AMAÑAR,true,"""verbo transitivo""","""Preparar o disponer algo con engaño o artificio manipular apañar trucar""",6,esp
ATAÑER,true,"""verbo intransitivo""","""Incumbir corresponder incumbir concernir corresponder afectar competer tocar1 interesar pertenecer atingir""",6,esp
ABASÍ,true,"""adjetivo""","""Integrante de la dinastía fundada por quien destronó a los califas omeyas de y trasladó la corte a en el siglo abasida""",5,esp
ABATIR,true,"""verbo transitivo""","""Derribar algo derrocarlo echarlo por tierra derribar tirar derrumbar desmantelar destruir derrocar aterrar1 construir""",6,esp
ABECÉ,true,"""nombre masculino""","""serie de las letras de un idioma abecedario alfabeto1 cristus alifato""",5,esp
ABARSE,true,"""verbo pronominal""","""Apartarse quitarse del paso dejar libre el camino interceptar""",6,esp
ABITAR,true,"""verbo transitivo""","""Amarrar un cabo rodeando las bitas bitar amarrar desamarrar desatar""",6,esp
AVENIR,true,"""verbo transitivo""","""Concordar ajustar las partes discordes concordar acordar arreglar ajustar componer allanarse convenirse desavenirse""",6,esp
ABOLIR,true,"""verbo transitivo""","""Derogar dejar sin vigencia una ley precepto costumbre abrogar anular2 cancelar derogar invalidar revocar eliminar extinguir suprimir aprobar implantar ratificar""",6,esp
ABOBAR,true,"""verbo transitivo""","""Hacer bobo a alguien entorpecerle el uso de las facultades intelectuales atontar alelar entontecer idiotizar apendejarse adundarse espabilar despabilar""",6,esp
ABRIGAR,true,"""verbo transitivo""","""Dicho de una formación del terreno de una construcción Resguardar algo o a alguien Una trinchera abrigaba al reportero de los tiros resguardar cobijar proteger guarecer amparar auxiliar2""",7,esp
ABRA,true,"""nombre femenino""","""Bahía no muy extensa bahía ensenada cala2 rada caleta1""",4,esp
ÁCANA,true,"""nombre femenino""","""Árbol de la familia de las sapotáceas muy común en y en la isla de y cuyo tronco de ocho a diez metros de altura da una madera recia y compacta excelente para la construcción""",5,esp
ACHÍN,true,"""nombre masculino y femenino""","""achinero""",5,esp
ACHÍ,true,"""adjetivo""","""Dicho de una persona De un pueblo amerindio de la familia maya de""",4,esp
ABIAR,true,"""nombre masculino""","""manzanilla loca.""",5,esp
ÁCIDO,true,"""adjetivo""","""Dicho de un sabor o de un olor Áspero y penetrante como el del limón o el vinagre Prefiero el ácido al dulce Hizo una mueca al notar en la boca el ácido del limón agrio avinagrado acre2 acidulado acerbo dulce""",5,esp
ARIJE,null,null,null,null,null
ÁCIMO,true,"""adjetivo""","""Que se hace sin levadura Pan ácimo a pan""",5,esp
ACIÓN,true,"""nombre femenino""","""Correa de que pende cada estribo en la silla de montar arción2 acionera""",5,esp
ACAMAR,true,"""verbo transitivo""","""Dicho de la lluvia del viento Hacer que se tiendan o recuesten las mieses el cáñamo el lino u otros vegetales semejantes""",6,esp
ACLE,true,"""nombre masculino""","""Árbol del archipiélago filipino de la familia de las mimosáceas de más de de altura con tronco recto y grueso hojas divididas en hojuelas opuestas anchas y lanceoladas flores blanquecinas en cabezuelas y fruto en legumbre leñosa con semillas ovales de un centímetro de longitud Su madera de color pardo rojizo es muy buena para la construcción de edificios y de buques""",4,esp
ACOGER,true,"""verbo transitivo""","""Dicho de una persona Admitir en su casa o compañía a alguien Acogió en vacaciones a un niño saharaui albergar alojar hospedar aposentar expulsar""",6,esp
ACROY,true,"""nombre masculino""","""Gentilhombre de la casa de que acompañaba al soberano en ciertos actos públicos y lo seguía a la guerra""",5,esp
ACTUAR,true,"""verbo intransitivo""","""Dicho de una persona o de una cosa Ejercer actos propios de su naturaleza ejecutar proceder1 obrar conducirse portarse comportarse mostrarse""",6,esp
ACTUAL,true,"""adjetivo""","""Dicho del tiempo en que se está presente contemporáneo coetáneo reciente moderno vigente existente pasado""",6,esp
ACUDIR,true,"""verbo intransitivo""","""Dicho de una persona Ir al sitio adonde le conviene o es llamada asistir ir presentarse afluir faltar""",6,esp
ÁCUEO,true,"""adjetivo""","""De agua""",5,esp
ACUTÍ,true,"""nombre masculino""","""agutí.""",5,esp
ADAMAR,true,"""verbo transitivo poco usado""","""Cortejar requebrar cortejar flirtear galantear""",6,esp
ADIANO,true,"""adjetivo desusado""","""Excelente de gran valía""",6,esp
ABIA,true,"""nombre femenino""","""arándano.""",4,esp
ADIAR,true,"""verbo transitivo poco usado""","""Señalar o fijar día fechar citar convocar emplazar1""",5,esp
ADIÓS,true,"""interjección""","""para despedirse chao chau agur abur""",5,esp
ADUCIR,true,"""verbo transitivo""","""Presentar o alegar pruebas razones alegar argüir argumentar declarar razonar probar acreditar""",6,esp
ADURIR,true,"""verbo transitivo poco usado""","""Abrasar o quemar abrasar quemar""",6,esp
AÉREO,true,"""adjetivo""","""De aire""",5,esp
