word,status
ABABA,False
ABACA,False
ABACO,False
ABADA,False
ABADI,False
ABAJA,False
ABAJE,False
ABAJO,False
ABALA,False
ABALE,False
ABALO,False
ABANA,False
ABANE,False
ABANO,False
ABAÑA,False
ABAÑE,False
ABAÑO,False
ABASI,False
ABATA,False
ABATE,False
ABATI,False
ABATO,False
ABECE,False
ABEJA,False
ABETE,False
ABETO,False
ABIAR,False
ABIAS,False
ABINA,False
ABINE,False
ABINO,False
ABISO,False
ABITA,False
ABITE,False
ABITO,False
ABOBA,False
ABOBE,False
ABOBO,False
ABOCA,False
ABOCO,False
ABOFA,False
ABOFE,False
ABOFO,False
ABOGA,False
ABOGO,False
ABOLI,False
ABONA,False
ABONE,False
ABONO,False
ABOYA,False
ABOYE,False
ABOYO,False
ABOZO,False
ABRAN,False
ABRAS,False
ABREN,False
ABRES,False
ABRIA,False
ABRID,False
ABRIL,False
ABRIO,False
ABRIR,False
ABRIS,False
ABSIT,False
ABUBO,False
ABUCE,False
ABUJE,False
ABURA,False
ABURE,False
ABURO,False
ABUSA,False
ABUSE,False
ABUSO,False
ABUZA,False
ABUZO,False
ACABA,False
ACABE,False
ACABO,False
ACAMA,False
ACAME,False
ACAMO,False
ACANA,False
ACARA,False
ACARE,False
ACARO,False
ACASO,False
ACATA,False
ACATE,False
ACATO,False
ACEBO,False
ACECE,False
ACEDA,False
ACEDE,False
ACEDO,False
ACEMA,False
ACEÑA,False
ACEPA,False
ACEPE,False
ACEPO,False
ACERA,False
ACERE,False
ACERO,False
ACETA,False
ACETO,False
ACEZA,False
ACEZO,False
ACHIN,False
ACHIS,False
ACIAL,False
ACIAR,False
ACIDA,False
ACIDO,False
ACIJE,False
ACILO,False
ACIMO,False
ACION,False
ACLES,False
ACLLA,False
ACMES,False
ACNES,False
ACOCA,False
ACOCO,False
ACODA,False
ACODE,False
ACODO,False
ACOGE,False
ACOGI,False
ACOJA,False
ACOJO,False
ACOLA,False
ACOLE,False
ACOLO,False
ACOPA,False
ACOPE,False
ACOPO,False
ACORA,False
ACORE,False
ACORO,False
ACOSA,False
ACOSE,False
ACOSO,False
ACOTA,False
ACOTE,False
ACOTO,False
ACRES,False
ACROE,False
ACROY,False
ACTAS,False
ACTEA,False
ACTOR,False
ACTOS,False
ACTUA,False
ACTUE,False
ACTUO,False
ACUDA,False
ACUDE,False
ACUDI,False
ACUDO,False
ACUEA,False
ACUEO,False
ACULA,False
ACULE,False
ACULO,False
ACUNA,False
ACUNE,False
ACUNO,False
ACUÑA,False
ACUÑE,False
ACUÑO,False
ACURE,False
ACUSA,False
ACUSE,False
ACUSO,False
ACUTA,False
ACUTI,False
ACUTO,False
ACUYO,False
ADALA,False
ADAMA,False
ADAME,False
ADAMO,False
ADAZA,False
ADEMA,False
ADEME,False
ADEMO,False
ADIAD,False
ADIAN,False
ADIAR,False
ADIAS,False
ADIEN,False
ADIES,False
ADIOS,False
ADIVA,False
ADIVE,False
ADOBA,False
ADOBE,False
ADOBO,False
ADORA,False
ADORE,False
ADORO,False
ADOSA,False
ADOSE,False
ADOSO,False
ADRAD,False
ADRAL,False
ADRAN,False
ADRAR,False
ADRAS,False
ADREN,False
ADRES,False
ADUAR,False
ADUCE,False
ADUCI,False
ADUFE,False
ADUJA,False
ADUJE,False
ADUJO,False
ADULA,False
ADULE,False
ADULO,False
ADUNA,False
ADUNE,False
ADUNO,False
ADURA,False
ADURE,False
ADURI,False
ADURO,False
ADVEN,False
AEDAS,False
AEDOS,False
AEREA,False
AEREO,False
AETAS,False
AFACA,False
AFACE,False
AFAGA,False
AFAGO,False
AFAMA,False
AFAME,False
AFAMO,False
AFANA,False
AFANE,False
AFANO,False
AFARA,False
AFARE,False
AFATA,False
AFATE,False
AFATO,False
AFEAD,False
AFEAN,False
AFEAR,False
AFEAS,False
AFEEN,False
AFEES,False
AFIAR,False
AFICE,False
AFIJA,False
AFIJO,False
AFILA,False
AFILE,False
AFILO,False
AFINA,False
AFINE,False
AFINO,False
AFIZO,False
AFLUI,False
AFOCA,False
AFOCO,False
AFOFA,False
AFOFE,False
AFOFO,False
AFOGA,False
AFOGO,False
AFONA,False
AFONO,False
AFORA,False
AFORE,False
AFORO,False
AFOSA,False
AFOSE,False
AFOSO,False
AFTAS,False
AFUFA,False
AFUFE,False
AFUFO,False
AFUMA,False
AFUME,False
AFUMO,False
AGACE,False
AGAMI,False
AGANA,False
AGANE,False
AGANO,False
AGAPE,False
AGATA,False
AGAVE,False
AGIOS,False
AGITA,False
AGITE,False
AGITO,False
AGNUS,False
AGOLA,False
AGOLE,False
AGOLO,False
AGORA,False
AGORE,False
AGORO,False
AGOTA,False
AGOTE,False
AGOTO,False
AGRAS,False
AGRAZ,False
AGRES,False
AGRIA,False
AGRIE,False
AGRIO,False
AGROR,False
AGROS,False
AGUAD,False
AGUAI,False
AGUAN,False
AGUAR,False
AGUAS,False
AGUAY,False
AGUCE,False
AGUDA,False
AGUDO,False
AGUEN,False
AGUES,False
AGUIN,False
AGUIO,False
AGUJA,False
AGUTI,False
AGUZA,False
AGUZO,False
AHAJA,False
AHAJE,False
AHAJO,False
AHIJA,False
AHIJE,False
AHIJO,False
AHILA,False
AHILE,False
AHILO,False
AHINA,False
AHITA,False
AHITE,False
AHITO,False
AHOGA,False
AHOGO,False
AHORA,False
AHOYA,False
AHOYE,False
AHOYO,False
AHUMA,False
AHUME,False
AHUMO,False
AHUSA,False
AHUSE,False
AHUSO,False
AILLO,False
