word,status,calification,definition,word_length,language
ABABA,null,null,null,null,null
ABACA,null,null,null,null,null
ABACO,null,null,null,null,null
ABADA,true,"""nombre femenino desusado""","""rinoceronte.""",5,esp
ABADI,null,null,null,null,null
ABAJA,true,"""verbo transitivo""","""bajar rebajar reducir disminuir subir""",5,esp
ABAJE,true,"""verbo transitivo""","""bajar rebajar reducir disminuir subir""",5,esp
ABAJO,true,"""adverbio""","""En un lugar que está más bajo o en la parte baja Vive abajo en el sótano debajo arriba encima""",5,esp
ABALA,null,null,null,null,null
ABALE,null,null,null,null,null
ABALO,null,null,null,null,null
ABANA,null,null,null,null,null
ABANE,null,null,null,null,null
ABANO,true,"""nombre masculino poco usado""","""instrumento de varillas abanico paipay perico1 pericón ventalle aventador soplador pantalla""",5,esp
ABAÑA,null,null,null,null,null
ABAÑE,null,null,null,null,null
ABAÑO,null,null,null,null,null
ABASI,null,null,null,null,null
ABATA,true,"""verbo transitivo""","""Derribar algo derrocarlo echarlo por tierra derribar tirar derrumbar desmantelar destruir derrocar aterrar1 construir""",5,esp
ABATE,true,"""nombre masculino""","""Presbítero extranjero especialmente francés o italiano y también eclesiástico español que ha residido mucho tiempo en o""",5,esp
ABATI,null,null,null,null,null
ABATO,true,"""verbo transitivo""","""Derribar algo derrocarlo echarlo por tierra derribar tirar derrumbar desmantelar destruir derrocar aterrar1 construir""",5,esp
ABECE,null,null,null,null,null
ABEJA,true,"""nombre femenino""","""Insecto himenóptero de unos quince milímetros de largo de color pardo negruzco y vello rojizo que vive en colonias y produce cera y miel""",5,esp
ABETE,null,null,null,null,null
ABETO,true,"""nombre masculino""","""Árbol de la familia de las abietáceas de hasta de altura copa cónica de ramas horizontales hojas aciculares perennes y fruto en piñones casi cilíndricos Es propio de parajes montañosos y su madera no muy resistente es apreciada para determinadas construcciones por su tamaño y blancura pinabete sapino""",5,esp
ABIAR,true,"""nombre masculino""","""manzanilla loca.""",5,esp
ABIAS,true,"""nombre femenino""","""arándano.""",5,esp
ABINA,null,null,null,null,null
ABINE,null,null,null,null,null
ABINO,null,null,null,null,null
ABISO,true,"""nombre masculino""","""abismo.""",5,esp
ABITA,true,"""verbo transitivo""","""Amarrar un cabo rodeando las bitas bitar amarrar desamarrar desatar""",5,esp
ABITE,true,"""verbo transitivo""","""Amarrar un cabo rodeando las bitas bitar amarrar desamarrar desatar""",5,esp
ABITO,true,"""verbo transitivo""","""Amarrar un cabo rodeando las bitas bitar amarrar desamarrar desatar""",5,esp
ABOBA,true,"""verbo transitivo""","""Hacer bobo a alguien entorpecerle el uso de las facultades intelectuales atontar alelar entontecer idiotizar apendejarse adundarse espabilar despabilar""",5,esp
ABOBE,true,"""verbo transitivo""","""Hacer bobo a alguien entorpecerle el uso de las facultades intelectuales atontar alelar entontecer idiotizar apendejarse adundarse espabilar despabilar""",5,esp
ABOBO,true,"""verbo transitivo""","""Hacer bobo a alguien entorpecerle el uso de las facultades intelectuales atontar alelar entontecer idiotizar apendejarse adundarse espabilar despabilar""",5,esp
ABOCA,true,"""verbo transitivo""","""Verter el contenido de un cántaro costal en otro propiamente cuando para se aproximan las bocas de ambos verter trasvasar envasar""",5,esp
ABOCO,true,"""verbo transitivo""","""Verter el contenido de un cántaro costal en otro propiamente cuando para se aproximan las bocas de ambos verter trasvasar envasar""",5,esp
ABOFA,true,"""verbo pronominal""","""Afofarse hincharse abotagarse""",5,esp
ABOFE,true,"""verbo pronominal""","""Afofarse hincharse abotagarse""",5,esp
ABOFO,true,"""verbo pronominal""","""Afofarse hincharse abotagarse""",5,esp
ABOGA,true,"""verbo intransitivo""","""Defender en juicio por escrito o de palabra defender interceder mediar proteger apoyar2 respaldar2 auxiliar2 ayudar patrocinar acuerpar acusar""",5,esp
ABOGO,true,"""verbo intransitivo""","""Defender en juicio por escrito o de palabra defender interceder mediar proteger apoyar2 respaldar2 auxiliar2 ayudar patrocinar acuerpar acusar""",5,esp
ABOLI,null,null,null,null,null
ABONA,true,"""verbo transitivo""","""Acreditar garantizar que algo es bueno correcto o verdadero Su autoridad en la materia abona sus palabras acreditar garantizar avalar respaldar2""",5,esp
ABONE,true,"""verbo transitivo""","""Acreditar garantizar que algo es bueno correcto o verdadero Su autoridad en la materia abona sus palabras acreditar garantizar avalar respaldar2""",5,esp
ABONO,true,"""nombre masculino""","""Acción y efecto de pago1 desembolso retribución remuneración reintegro cobro""",5,esp
ABOYA,true,"""verbo transitivo""","""Poner boyas""",5,esp
ABOYE,true,"""verbo transitivo""","""Poner boyas""",5,esp
ABOYO,true,"""verbo transitivo""","""Poner boyas""",5,esp
