word,status
ABABA,null
ABACA,null
ABACO,null
ABADA,true
ABADI,null
ABAJA,true
ABAJE,true
ABAJO,true
ABALA,null
ABALE,null
ABALO,null
ABANA,null
ABANE,null
ABANO,true
ABAÑA,null
ABAÑE,null
ABAÑO,null
ABASI,null
ABATA,true
ABATE,true
ABATI,null
ABATO,true
ABECE,null
ABEJA,true
ABETE,null
ABETO,true
ABIAR,true
ABIAS,true
ABINA,null
ABINE,null
ABINO,null
ABISO,true
ABITA,true
ABITE,true
ABITO,true
ABOBA,true
ABOBE,true
ABOBO,true
ABOCA,true
ABOCO,true
ABOFA,true
ABOFE,true
ABOFO,true
ABOGA,true
ABOGO,true
ABOLI,null
ABONA,true
ABONE,true
ABONO,true
ABOYA,true
ABOYE,true
ABOYO,true
ABOZO,null
ABRAN,true
ABRAS,null
ABREN,true
ABRES,true
ABRIA,null
ABRID,true
ABRIL,true
ABRIO,null
ABRIR,true
ABRIS,null
ABSIT,true
ABUBO,null
ABUCE,true
ABUJE,true
ABURA,true
ABURE,true
ABURO,true
ABUSA,true
ABUSE,true
ABUSO,true
ABUZA,true
ABUZO,true
ACABA,true
ACABE,true
ACABO,true
ACAMA,true
ACAME,true
ACAMO,true
ACANA,null
ACARA,true
ACARE,true
ACARO,true
ACASO,true
ACATA,true
ACATE,true
ACATO,true
ACEBO,true
ACECE,true
ACEDA,true
ACEDE,true
ACEDO,true
ACEMA,true
ACEÑA,true
ACEPA,true
ACEPE,true
ACEPO,true
ACERA,true
ACERE,true
ACERO,true
ACETA,true
ACETO,true
ACEZA,true
ACEZO,true
ACHIN,null
ACHIS,null
ACIAL,true
ACIAR,null
ACIDA,true
ACIDO,null
ACIJE,null
ACILO,true
ACIMO,null
ACION,null
ACLES,true
ACLLA,true
ACMES,null
ACNES,null
ACOCA,true
ACOCO,true
ACODA,true
ACODE,true
ACODO,true
ACOGE,true
ACOGI,null
ACOJA,true
ACOJO,true
ACOLA,true
ACOLE,true
ACOLO,true
ACOPA,true
ACOPE,true
ACOPO,true
ACORA,true
ACORE,true
ACORO,true
ACOSA,true
ACOSE,true
ACOSO,true
ACOTA,true
ACOTE,true
ACOTO,true
ACRES,true
ACROE,null
ACROY,true
ACTAS,true
ACTEA,null
ACTOR,true
ACTOS,true
ACTUA,null
ACTUE,null
ACTUO,null
ACUDA,true
ACUDE,true
ACUDI,null
ACUDO,true
ACUEA,null
ACUEO,null
ACULA,true
ACULE,true
ACULO,true
ACUNA,true
ACUNE,true
ACUNO,true
ACUÑA,true
ACUÑE,true
ACUÑO,true
ACURE,true
ACUSA,true
ACUSE,true
ACUSO,true
ACUTA,true
ACUTI,null
ACUTO,true
ACUYO,true
ADALA,null
ADAMA,null
ADAME,null
ADAMO,null
ADAZA,null
ADEMA,true
ADEME,true
ADEMO,true
ADIAD,true
ADIAN,null
ADIAR,true
ADIAS,null
ADIEN,null
ADIES,null
ADIOS,null
ADIVA,true
ADIVE,true
ADOBA,true
ADOBE,true
ADOBO,true
ADORA,null
ADORE,true
ADORO,true
ADOSA,true
ADOSE,true
ADOSO,true
ADRAD,true
ADRAL,true
ADRAN,true
ADRAR,true
ADRAS,null
ADREN,true
ADRES,true
ADUAR,true
ADUCE,true
ADUCI,null
ADUFE,true
ADUJA,true
ADUJE,null
ADUJO,null
ADULA,true
ADULE,true
ADULO,true
ADUNA,true
ADUNE,true
