word,status
ABACÁ,false
ÁBACO,false
ABADÍ,false
ABA,false
ABADA,false
ABANO,false
AMAÑAR,false
ATAÑER,false
ABASÍ,false
ABATIR,false
ABECÉ,false
ABARSE,false
ABITAR,false
AVENIR,false
ABOLIR,false
ABOBAR,false
ABRIGAR,false
ABRA,false
ÁCANA,false
ACHÍN,false
ACHÍ,false
ABIAR,false
ÁCIDO,false
ARIJE,false
ÁCIMO,false
ACIÓN,false
ACAMAR,false
ACLE,false
ACOGER,false
ACROY,false
ACTUAR,false
ACTUAL,false
ACUDIR,false
ÁCUEO,false
ACUTÍ,false
ADAMAR,false
ADIANO,false
ABIA,false
ADIAR,false
ADIÓS,false
ADUCIR,false
ADURIR,false
AÉREO,false
ÁFACA,false
AFACER,false
AFAMAR,false
ACARAR,false
AFATE,false
AFICHE,false
AFIJAR,false
AFLUIR,false
ABOGAR,false
ÁFONO,false
ADUFE,false
AFOFARSE,false
ASUMIR,false
AGAMÍ,false
AFANAR,false
AGACE,false
ÁGAPE,false
ÁGATA,false
AFORE,false
ACORARSE,false
AGUAÍ,false
AGUAR,false
AGRE,false
AGUÍN,false
AGRIAR,false
AGUTÍ,false
ABAJAR,false
AHIJAR,false
AFILAR,false
AHILAR,false
AHÍNA,false
AHITAR,false
ACHUMA,false
AHUMAR,false
ABUSAR,false
AÍLLO,false
AÍNAS,false
ABRIR,false
AIRÓN,false
AISLAR,false
AJAR,false
AJEAR,false
ALABAR,false
ALAJÚ,false
ALA,false
ÁLAMO,false
ALAUÍ,false
ALBÍN,false
ÁLBUM,false
ALEA,false
ALHELÍ,false
ALGUND,false
ALEAR,false
ÁLICA,false
ALCE,false
ÁLIMO,false
AGUA,false
ALUDIR,false
ÁLULA,false
ÁLVEO,false
AMAR,false
ÁMBAR,false
AMBÓN,false
A,false
AMAINAR,false
AMIRÍ,false
AMOVER,false
AMPÓN,false
AMARO,false
AMBRE,false
AMARAR,false
ANABÍ,false
ÁNADE,false
ANAMÚ,false
ANCÓN,false
ANDÓN,false
AFEAR,false
ÁNGEL,false
ANGÚ,false
ANIÓN,false
ÁNODO,false
ÁNSAR,false
ANSIA,false
ANGIO-,false
AÑADA,false
AÑADIR,false
ANIDAR,false
APA,false
APEAR,false
ÁPICE,false
API,false
APRÉS,false
ÁRABE,false
ARABÍ,false
ARAR,false
ARASÁ,false
ARAZÁ,false
ÁRBOL,false
ÁRBOR,false
ARCÉN,false
ARCÓN,false
ÁRDEA,false
ARDER,false
ARGÁN,false
ARGÉN,false
ARGÓN,false
ARGUE,false
ÁRIDO,false
ARMÓN,false
ARNÉS,false
ARPÍA,false
ARPÓN,false
ARRIA,false
ARDUO,false
ARRUÍ,false
ÁRULA,false
ARZÓN,false
ASAR,false
ÁSARO,false
ÁSCAR,false
ASEAR,false
ASICAR,false
ASIR,false
ABONAR,false
APONER,false
ÁSPIC,false
ÁSPID,false
ATAR,false
ATACAR,false
ATABE,false
ATAÚD,false
ATERIR,false
ÁTICO,false
ÁTOMO,false
ÁTONO,false
ATRÁS,false
ACLLA,false
AULLAR,false
ACUNAR,false
ARPAR,false
ARPA,false
ALPES,false
ÁUREO,false
MUTAR,false
AVATÍ,false
AVENA,false
AVIAR,false
ARICAR,false
ÁVIDO,false
ALIEN,false
ARIES,false
AVIÓN,false
AGIO,false
AZALÁ,false
AZCÓN,false
AZERÍ,false
BAJÍO,false
BAJÍN,false
BAJÓN,false
BALÍN,false
BALÓN,false
BAMBÚ,false
BANCA,false
BANTÚ,false
BAQUEAR,false
BABI,false
BAR,false
BARÓN,false
BARRA,false
BARIA,false
BATÍN,false
BARIO,false
BATÓN,false
BATÚA,false
BAYÓN,false
BAYÚA,false
BAYA,false
BEBER,false
BEJÍN,false
BALDA,false
BALDAR,false
BELÉN,false
BEORÍ,false
DERBI,false
BERÓN,false
BETÚN,false
BEZÓN,false
BIDÉ,false
BIDÓN,false
BAILAR,false
BILMA,false
BILAO,false
BINAR,false
BIRLÍ,false
BIS,false
BÍTER,false
BOCÍN,false
BOCÓN,false
BODÓN,false
BOHÍO,false
BOLÍN,false
BOLÓN,false
BOMBÉ,false
BÓRAX,false
BÓREO,false
BORNÍ,false
BOSÓN,false
BOTÍN,false
BOTÓN,false
BÓXER,false
BOZÓN,false
BRÍO,false
BRIDAR,false
BIRUJI,false
BRUÑIR,false
BUBÓN,false
BUDÍN,false
BUFÓN,false
BUHÍO,false
BUCO,false
BUJÍA,false
BULÍN,false
BILIS,false
BULLA,false
BULÓN,false
BURÍO,false
BUTIÁ,false
BUZÓN,false
CABÁS,false
CABER,false
CACÁN,false
CACHÚ,false
CADI,false
CADENA,false
CABERO,false
CAER,false
CABE,false
CAGÓN,false
CAHÍZ,false
CACA,false
CAJÍN,false
CAJÓN,false
CÁLAO,false
CALCA,false
CABIO,false
CÁLIZ,false
BAÑAR,false
CAÑÍ,false
CANON,false
CAPÍN,false
CAPÓN,false
CARÁU,false
CARI,false
CAR,false
CARÓN,false
CARPA,false
CÁSEO,false
CASÓN,false
CATÍN,false
CATÓN,false
CAURO,false
CÁVEA,false
CAVÍO,false
CAVÓN,false
CAYÁN,false
CAZÓN,false
CEBÓN,false
CEBTÍ,false
CEBA,false
CEDER,false
CEFEA,false
CECEAR,false
CAGAR,false
CAGUE,false
CENCHA,false
CENA,false
CENAR,false
CENIA,false
CEÑA,false
CEPTÍ,false
CEQUÍ,false
CÉREO,false
CERNA,false
CERÓN,false
CERNE,false
CETÍS,false
CEUTÍ,false
CHACAL,false
CHAJÁ,false
CHANÁ,false
CHAÚL,false
CHIAR,false
CHAI,false
CHIMÚ,false
CHITE,false
CHÍA,false
CHULÉ,false
CHURÚ,false
CIANÍ,false
CICLAR,false
BINA,false
CHISME,false
CIEMO,false
ALOCAR,false
COATÍ,false
CHOCAR,false
COCEAR,false
BOCIO,false
CODÍN,false
CODÓN,false
COFÁN,false
COFÍN,false
COFIA,false
COGER,false
COGÓN,false
KOINÉ,false
COJÍN,false
COJÓN,false
CHOLGA,false
COLEAR,false
COLÍN,false
CIMIA,false
CÓMIC,false
COMÍS,false
COMÚN,false
CANTAR,false
CORRA,false
COR,false
CORÚA,false
CASIA,false
CESIO,false
COTÍN,false
CHOTIS,false
COTÓN,false
COTÚA,false
AOVAR,false
COYÁN,false
CRECER,false
CREER,false
CREA,false
CREDO,false
CREAR,false
ARIO,false
CRUJIR,false
CRÚOR,false
CUATÍ,false
CUBRIR,false
CUCHÉ,false
CUCHÍ,false
CUCA,false
CUJÍN,false
CUJA,false
CUJÓN,false
AULA,false
CULÉN,false
CELIA,false
CULÍO,false
CULÓN,false
CÚMEL,false
CANDI,false
CAPAR,false
CUPLÉ,false
CUPÓN,false
BURI,false
CURRI,false
CUSCÚ,false
CASIS,false
CÚTER,false
DAHÍR,false
TAMIL,false
DAQUÍ,false
DAÑAR,false
CARA,false
DÁTIL,false
DAUDÁ,false
BAZA,false
DEBDA,false
DÉBIL,false
DEBDO,false
BEBO,false
DECAER,false
DACIO,false
DECIR,false
DEMÁS,false
DANTA,false
DEPONER,false
DESDAR,false
DESE,false
DESÚS,false
DATAR,false
DEBER,false
DÍADA,false
DILUIR,false
CIMA,false
DIMIR,false
DAIMIO,false
DAR,false
DIODO,false
BIRO,false
DISÓN,false
DIVÁN,false
DÓCIL,false
COLAR,false
BOL,false
DALIA,false
DELIO,false
DORMIR,false
ARIA,false
ASEDAR,false
DULÍA,false
DOMAR,false
ÉFETA,false
EFLUIR,false
ÉFORO,false
ÉGIDA,false
EJIÓN,false
ELAMÍ,false
ÉLEGO,false
ELEGIO,false
ELEMÍ,false
ELEPÉ,false
ELIDIR,false
ELUDIR,false
EMBAÍR,false
EMITIR,false
EMPÓS,false
EMPORAR,false
EMPERO,false
EMÚ,false
ENE,false
EBRIO,false
ENRIAR,false
ÉNULA,false
ENVÉS,false
ENVIAR,false
EPA,false
ÉPICO,false
ÉPOCA,false
ERAR,false
ERGUIR,false
ERIGIR,false
BRUTO,false
ERUTO,false
ESMUIR,false
ESPÍA,false
ESPIAR,false
ESPÍN,false
ESQUÍ,false
ESTAND,false
ESTAR,false
ÉSTER,false
ESTÍO,false
ÉSULA,false
ÉTICO,false
ÉTIMO,false
EVADIR,false
EVOHÉ,false
EXIGIR,false
EXIMIO,false
ÉXITO,false
ÉXODO,false
EXPEDIR,false
EXPONER,false
FÁCIL,false
FACÓN,false
FAJÍN,false
FAJÓN,false
CALCAR,false
FALÚA,false
FAQUÍ,false
FARÓN,false
FÁSOL,false
FELÓN,false
FELÚS,false
FEMAR,false
CEMA,false
FUMAR,false
FAME,false
FÉMUR,false
FÉNIX,false
AZUA,false
BACÁN,false
BACÍA,false
BACÍN,false
BACÓN,false
BADÁN,false
BAHAÍ,false
BAHÍA,false
BAÍDA,false
CALÓN,false
CAMBA,false
CAMÓN,false
BANDA,false
BANDO,false
CACEA,false
CAN,false
CACEAR,false
CANTÚ,false
COÑO,false
CHONO,false
COPÍN,false
COPÓN,false
COQUÍ,false
CHORAR,false
CORÍO,false
DIMES,false
DUMIR,false
DUBIO,false
DUMA,false
ÉBANO,false
EDUCAR,false
FETÉN,false
FEÚCO,false
FEÚRA,false
FIAR,false
FIGÓN,false
FIJÓN,false
FALLAR,false
FILÓN,false
FINGIR,false
CINIA,false
FILIAR,false
FISÁN,false
FIFAR,false
BIZA,false
FIZÓN,false
FLAÓN,false
FLUIDO,false
FLÚOR,false
FOGÓN,false
FORCA,false
FÓRUM,false
CORZO,false
FÓSIL,false
FOTÓN,false
FÓVEA,false
ARADO,false
ARAÑA,false
IRANÍ,false
ARAÑAR,false
BREGA,false
BREGAR,false
FREILA,false
FREÍR,false
FREÓN,false
FERIAR,false
FRUI,false
FÚCAR,false
FUFAR,false
FULGIR,false
FÚTIL,false
FUTÓN,false
GABÁN,false
GACHÉ,false
GACHÍ,false
GALÁN,false
GÁLEO,false
GALÓN,false
GALÚA,false
GAMÓN,false
GAÑIL,false
GAÑIR,false
GARBA,false
GARRA,false
GARÚA,false
GARRIR,false
GARBO,false
GASÓN,false
GAMIA,false
GEMA,false
GIBÓN,false
GEMIR,false
GLASÉ,false
ALIAS,false
GOBÉN,false
GOTÓN,false
GOZÓN,false
GRAM,false
GRISÚ,false
GROAR,false
GRUIR,false
GRUJA,false
GRUÑIR,false
GRUPÍ,false
GUARA,false
GÜEÑA,false
GÜERO,false
GUIAR,false
GÜILA,false
HUILO,false
CUINA,false
GÜINO,false
GÜIRA,false
GUARIR,false
GÜIRO,false
GUMÍA,false
GURA,false
HABER,false
HÁBIL,false
HABÓN,false
CABRA,false
HABÚS,false
HACÁN,false
HALÓN,false
HÁPAX,false
HARÉN,false
HARÓN,false
HEBÉN,false
HEDER,false
BEL,false
DENDE,false
FENDI,false
HEÑIR,false
HARBAR,false
HERBAR,false
HERIA,false
HÉROE,false
BERRA,false
BERRAR,false
HERPES,false
HERVER,false
HISPIR,false
HESPIRSE,false
HIGUÍ,false
HINDÚ,false
HIÑIR,false
CIRIO,false
HITÓN,false
DO,false
HUIR,false
HUIDA,false
HINDI,false
HURÓN,false
HÚSAR,false
HUTÍA,false
ÍBICE,false
IZAR,false
IDO,false
IGLÚ,false
ÍGNEO,false
IJUJÚ,false
ÍLEON,false
FLEO,false
ILUDIR,false
IMBUIR,false
IMPÍO,false
IMPONER,false
ÍNDEX,false
INGÓN,false
INTUIR,false
IR,false
ÍRIDE,false
IRRUIR,false
IRUPÉ,false
ISLÁN,false
ÍTEM,false
ITRIO,false
JABÓN,false
JABLE,false
JABRIR,false
CABRO,false
JADEAR,false
NADIE,false
JALÓN,false
JAMÓN,false
JAPÓN,false
JAYÁN,false
JEDA,false
JEJÉN,false
JETA,false
JETEAR,false
JATE,false
JETÓN,false
JIGÜE,false
HIJEAR,false
JIJEO,false
JIBIA,false
JIPI,false
JIPIAR,false
JIRÓN,false
BITAR,false
BITA,false
JOCÓN,false
COCO,false
JODER,false
JODÓN,false
JOLÍN,false
JOYÓN,false
JUBÓN,false
JUDÍA,false
JUDÍO,false
BUGA,false
JUGAR,false
JUJEAR,false
JUJEO,false
JUNCIA,false
CUÑAR,false
CUÑA,false
JUÑIR,false
JUPÓN,false
JUTÍA,false
LÁBIL,false
LACÓN,false
LADÓN,false
BAMBI,false
LAMÍN,false
CAMIO,false
LANDÓ,false
LANÍO,false
LÁPIZ,false
LAPÓN,false
LÁSER,false
LASÚN,false
LÁTEX,false
LABIA,false
LATÍN,false
LABIO,false
LATA,false
LATÓN,false
LEER,false
LEDO,false
LEJÍA,false
LEJÍO,false
LEMÁN,false
LÉMUR,false
LENÓN,false
LAÑAR,false
LETÓN,false
LÍBER,false
LIBÓN,false
LÍDER,false
LIDÓN,false
LIGÓN,false
LIMÓN,false
LINÓN,false
LIPÓN,false
LIRÓN,false
LLAVE,false
LLOVER,false
LIAR,false
LODÓN,false
LOÍNO,false
LOTÍN,false
LUCA,false
LUDIO,false
LUDIR,false
HUIRA,false
LUGRE,false
LULO,false
LÚTEA,false
LÚTEO,false
MACÍO,false
MACÓN,false
MACUÁ,false
MAGÍN,false
MAGUÉ,false
MAHÓN,false
MAÍDO,false
CALI,false
MALÓN,false
MALVA,false
CALVAR,false
MAMBÍ,false
MAMÍA,false
MAMÓN,false
MAMÚA,false
MANDÍ,false
MANÍA,false
MAGIAR,false
MACIS,false
MANÚS,false
MAÑÍO,false
MAORÍ,false
MARCA,false
MARÍA,false
MARÓN,false
MASÍA,false
MASÓN,false
MATÓN,false
MBAYÁ,false
MEAR,false
MACIA,false
MECER,false
MEDIA,false
MEDIAR,false
MESÓN,false
MIAGAR,false
MIAÑAR,false
CIDIO,false
MILÁN,false
