word,status
ABABA,false
ABACA,false
ABACO,false
ABADA,false
ABADI,false
ABAJA,false
ABAJE,false
ABAJO,false
ABALA,false
ABALE,false
ABALO,false
ABANA,false
ABANE,false
ABANO,false
ABAÑA,false
ABAÑE,false
ABAÑO,false
ABASI,false
ABATA,false
ABATE,false
ABATI,false
ABATO,false
ABECE,false
ABEJA,false
ABETE,false
ABETO,false
ABIAR,false
ABIAS,false
ABINA,false
ABINE,false
ABINO,false
ABISO,false
ABITA,false
ABITE,false
ABITO,false
ABOBA,false
ABOBE,false
ABOBO,false
ABOCA,false
ABOCO,false
ABOFA,false
ABOFE,false
ABOFO,false
ABOGA,false
ABOGO,false
ABOLI,false
ABONA,false
ABONE,false
ABONO,false
ABOYA,false
ABOYE,false
ABOYO,false
ABOZO,false
ABRAN,false
ABRAS,false
ABREN,false
ABRES,false
ABRIA,false
ABRID,false
ABRIL,false
ABRIO,false
ABRIR,false
ABRIS,false
ABSIT,false
ABUBO,false
ABUCE,false
ABUJE,false
ABURA,false
ABURE,false
ABURO,false
ABUSA,false
ABUSE,false
ABUSO,false
ABUZA,false
ABUZO,false
ACABA,false
ACABE,false
ACABO,false
ACAMA,false
ACAME,false
ACAMO,false
ACANA,false
ACARA,false
ACARE,false
ACARO,false
ACASO,false
ACATA,false
ACATE,false
ACATO,false
ACEBO,false
ACECE,false
ACEDA,false
ACEDE,false
ACEDO,false
ACEMA,false
ACEÑA,false
ACEPA,false
ACEPE,false
ACEPO,false
ACERA,false
ACERE,false
ACERO,false
ACETA,false
ACETO,false
ACEZA,false
ACEZO,false
ACHIN,false
ACHIS,false
ACIAL,false
ACIAR,false
ACIDA,false
ACIDO,false
ACIJE,false
ACILO,false
ACIMO,false
ACION,false
ACLES,false
ACLLA,false
ACMES,false
ACNES,false
ACOCA,false
ACOCO,false
ACODA,false
ACODE,false
ACODO,false
ACOGE,false
ACOGI,false
ACOJA,false
ACOJO,false
ACOLA,false
ACOLE,false
ACOLO,false
ACOPA,false
ACOPE,false
ACOPO,false
ACORA,false
ACORE,false
ACORO,false
ACOSA,false
ACOSE,false
ACOSO,false
ACOTA,false
ACOTE,false
ACOTO,false
ACRES,false
ACROE,false
ACROY,false
ACTAS,false
ACTEA,false
ACTOR,false
ACTOS,false
ACTUA,false
ACTUE,false
ACTUO,false
ACUDA,false
ACUDE,false
ACUDI,false
ACUDO,false
ACUEA,false
ACUEO,false
ACULA,false
ACULE,false
ACULO,false
ACUNA,false
ACUNE,false
ACUNO,false
ACUÑA,false
ACUÑE,false
ACUÑO,false
ACURE,false
ACUSA,false
ACUSE,false
ACUSO,false
ACUTA,false
ACUTI,false
ACUTO,false
ACUYO,false
ADALA,false
ADAMA,false
ADAME,false
ADAMO,false
ADAZA,false
ADEMA,false
ADEME,false
ADEMO,false
ADIAD,false
ADIAN,false
ADIAR,false
ADIAS,false
ADIEN,false
ADIES,false
ADIOS,false
ADIVA,false
ADIVE,false
ADOBA,false
ADOBE,false
ADOBO,false
ADORA,false
ADORE,false
ADORO,false
ADOSA,false
ADOSE,false
ADOSO,false
ADRAD,false
ADRAL,false
ADRAN,false
ADRAR,false
ADRAS,false
ADREN,false
ADRES,false
ADUAR,false
ADUCE,false
ADUCI,false
ADUFE,false
ADUJA,false
ADUJE,false
ADUJO,false
ADULA,false
ADULE,false
ADULO,false
ADUNA,false
ADUNE,false
ADUNO,false
ADURA,false
ADURE,false
ADURI,false
ADURO,false
ADVEN,false
AEDAS,false
AEDOS,false
AEREA,false
AEREO,false
AETAS,false
AFACA,false
AFACE,false
AFAGA,false
AFAGO,false
AFAMA,false
AFAME,false
AFAMO,false
AFANA,false
AFANE,false
AFANO,false
AFARA,false
AFARE,false
AFATA,false
AFATE,false
AFATO,false
AFEAD,false
AFEAN,false
AFEAR,false
AFEAS,false
AFEEN,false
AFEES,false
AFIAR,false
AFICE,false
AFIJA,false
AFIJO,false
AFILA,false
AFILE,false
AFILO,false
AFINA,false
AFINE,false
AFINO,false
AFIZO,false
AFLUI,false
AFOCA,false
AFOCO,false
AFOFA,false
AFOFE,false
AFOFO,false
AFOGA,false
AFOGO,false
AFONA,false
AFONO,false
AFORA,false
AFORE,false
AFORO,false
AFOSA,false
AFOSE,false
AFOSO,false
AFTAS,false
AFUFA,false
AFUFE,false
AFUFO,false
AFUMA,false
AFUME,false
AFUMO,false
AGACE,false
AGAMI,false
AGANA,false
AGANE,false
AGANO,false
AGAPE,false
AGATA,false
AGAVE,false
AGIOS,false
AGITA,false
AGITE,false
AGITO,false
AGNUS,false
AGOLA,false
AGOLE,false
AGOLO,false
AGORA,false
AGORE,false
AGORO,false
AGOTA,false
AGOTE,false
AGOTO,false
AGRAS,false
AGRAZ,false
AGRES,false
AGRIA,false
AGRIE,false
AGRIO,false
AGROR,false
AGROS,false
AGUAD,false
AGUAI,false
AGUAN,false
AGUAR,false
AGUAS,false
AGUAY,false
AGUCE,false
AGUDA,false
AGUDO,false
AGUEN,false
AGUES,false
AGUIN,false
AGUIO,false
AGUJA,false
AGUTI,false
AGUZA,false
AGUZO,false
AHAJA,false
AHAJE,false
AHAJO,false
AHIJA,false
AHIJE,false
AHIJO,false
AHILA,false
AHILE,false
AHILO,false
AHINA,false
AHITA,false
AHITE,false
AHITO,false
AHOGA,false
AHOGO,false
AHORA,false
AHOYA,false
AHOYE,false
AHOYO,false
AHUMA,false
AHUME,false
AHUMO,false
AHUSA,false
AHUSE,false
AHUSO,false
AILLO,false
