word,status
huilota,false
cacteos,false
aguzase,false
insista,false
magiara,false
afirola,false
denegar,true
aderece,false
derruye,false
tililas,false
rehelea,false
azorras,false
benjuis,false
cuarton,false
inflare,false
faldeas,false
chambea,false
gozadas,false
sondara,false
amuerma,false
avalore,false
vaquean,false
atoasen,false
encarad,false
bieldos,false
moyuelo,true
precias,false
minemos,false
fundeis,false
sobreis,false
bocadeo,false
ajumase,false
montaña,true
piñales,false
cascues,false
engrifo,false
apuñala,false
anteles,false
espadar,true
donaban,false
coteros,false
acopaba,false
escañas,false
drosera,false
ohmicos,false
descama,false
jaezara,false
edrisis,false
goderia,false
confian,false
singlen,false
buceare,false
afanosa,false
enteres,false
efector,false
arrimad,false
rozando,false
improbe,false
pitayar,false
enlosad,false
gringas,false
empelle,false
calapes,false
extrudo,false
realice,false
enrunen,false
undulas,false
lipidie,false
jumemos,false
enronas,false
quistan,false
blandon,false
faculas,false
apurona,false
llaneas,false
asquear,true
apurara,false
infanda,false
januche,false
hibride,false
enronad,false
salivar,true
apitado,false
dumiran,false
bruzara,false
llorais,false
miccion,false
zampada,false
alcaria,false
iconico,false
estofos,false
tiernos,false
conduce,false
lenteci,false
diñabas,false
alancee,false
rasgues,false
broncea,false
rodeais,false
atrasas,false
aliares,false
secadal,false
desabri,false
atender,true
tomones,false
asimile,false
lavaren,false
acoteis,false
escuren,false
sinocal,false
vaciada,false
amansar,true
gambado,true
cosiere,false
rieseis,false
testean,false
enjaban,false
chorote,false
anidias,false
bengala,true
desucar,false
torneis,false
redilea,false
flechen,false
coreais,false
derruis,false
jamugas,true
cuquead,false
arbolar,true
alolais,false
albelda,false
deputad,false
triples,false
letania,false
comarco,false
normada,false
bajasen,false
rehiera,false
rehalas,false
rozamos,false
acitara,false
polizas,false
balidos,false
enucleo,false
peteras,false
cunaron,false
dameros,false
estanza,false
afaceis,false
resegui,false
guayara,false
dioicos,false
cunados,false
buchete,false
murueco,true
alteare,false
hasanis,false
apellar,false
canguis,true
picuyes,false
remallo,false
insinua,false
afotica,false
facazos,false
hilasen,false
pampees,false
acerves,false
fifaren,false
enlerda,false
repazca,false
aciemar,false
maquila,false
lampeña,false
lindura,true
diseñar,true
grisead,false
saldase,false
atriaca,false
bicerra,true
delgado,true
babazas,false
fisgado,false
caituda,false
adensad,false
junceos,false
orienta,false
emburro,false
abañado,false
enojare,false
resinen,false
memeces,false
bogaban,false
clonara,false
capacho,true
tanoras,false
indicie,false
oxigene,false
falduda,false
vaporea,false
rapiñen,false
remanir,false
sorores,false
rozaria,false
ampliar,true
rehacer,true
urgiera,false
pirujas,false
guerree,false
gaznare,false
disidia,false
sesenas,false
acezare,false
veratas,false
panchon,false
desecho,true
sinuoso,true
asquead,false
avienen,false
mohinos,false
arcaras,false
floraba,false
aguazur,false
dijeren,false
convoyo,false
bovedas,false
rascase,false
rapiega,false
heraldo,true
reñiste,false
pirando,false
arrotes,false
arbolad,false
pellejo,true
revenar,false
pocoton,false
lencero,false
estator,false
sacudid,false
agolpes,false
cerreña,false
adinere,false
aculase,false
plumear,false
veteado,true
renueva,false
agallos,false
penisla,false
mozuelo,true
asparan,false
sevicia,true
titulan,false
respice,false
atoaras,false
ajetree,false
muscula,false
bulevar,true
mentada,false
malmeti,false
azocare,false
elegira,false
licuare,false
triseis,false
boyeras,false
peinada,false
pecases,false
escosan,false
papease,false
lojanas,false
emitias,false
pillead,false
rompeis,false
obraria,false
baloten,false
sordina,false
ninfeas,false
andanza,true
bineaba,false
cercena,false
batallo,false
alcaduz,false
alidona,false
pillees,false
senados,false
ojeador,true
numeres,false
imbuian,false
vendera,false
mudaria,false
mogatas,false
crearia,false
usurero,true
psiquis,true
cloacas,false
bozales,false
lapidad,false
listare,false
enrayen,false
rugiera,false
uñereis,false
coitaba,false
ahocica,false
remolio,false
ludamos,false
beberas,false
muendas,false
cuidase,false
moscare,false
tornaba,false
bastees,false
captaba,false
potosis,false
amoscas,false
saludan,false
triacal,false
menases,false
mocadas,false
gozabas,false
roznara,false
cascara,false
amainas,false
divanes,false
emisora,true
sucosos,false
parases,false
trezavo,false
delator,true
lantano,false
jambaba,false
zarposo,false
roblara,false
rotulen,false
abultas,false
avanzar,true
danceis,false
atonias,false
lipomas,false
nixquea,false
acortas,false
avisaba,false
espiote,false
enchufe,true
peniano,false
laguneo,false
fucilas,false
tufeaba,false
guizazo,false
asotane,false
atontas,false
asistas,false
adrolla,true
horario,true
podaren,false
ladeeis,false
peonzas,false
zafaras,false
humaina,false
sedares,false
lapizar,false
planean,false
recreos,false
aforase,false
correan,false
execrad,false
anegare,false
haldeen,false
revolca,false
empeden,false
sopetee,false
siseais,false
caprina,false
aflauta,false
finidas,false
muyeres,false
craneen,false
apurran,false
balayes,false
desyugo,false
telilla,true
hispira,false
propaga,false
bruñere,false
biarcas,false
botigas,false
golpead,false
coronal,false
roscado,false
moldean,false
yaciais,false
sajaran,false
pochote,false
agremio,false
canjees,false
abichan,false
baguios,false
ajorada,false
tildare,false
avahara,false
roñaren,false
rumazon,false
dinamos,false
gazmiad,false
encaven,false
cantico,false
pinedas,false
concisa,false
reyando,false
achiras,false
vafeais,false
arponen,false
molinar,false
indexas,false
manches,false
escodes,false
aberrad,false
concuna,false
feriaba,false
casando,false
insomne,true
aisleis,false
agonizo,false
enluten,false
ajeabas,false
raposas,false
antojar,false
tatamis,false
pirraba,false
exorado,false
tintare,false
tasquil,true
mancais,false
embiche,false
trovase,false
tapujen,false
jedando,false
boyaste,false
felariz,false
roradas,false
grisees,false
caspera,false
fibrila,false
eructes,false
ralvase,false
mayabas,false
fidalga,false
sumases,false
bobeado,false
butaque,false
corsead,false
sonajeo,false
pipaste,false
duchado,false
clavara,false
secoyas,false
tupidos,false
bofaren,false
citrico,false
morlaco,true
tunaran,false
macareo,false
relamas,false
novamos,false
minares,false
entizar,false
andamio,true
grujian,false
lideren,false
desfaso,false
insolen,false
desalce,false
hocique,false
solfead,false
guayado,false
gaguear,true
quesear,false
zafadas,false
sucesor,true
encuban,false
mañoseo,false
abuzara,false
azoraba,false
opinaba,false
almajal,false
prurito,true
helicon,false
pudimos,false
cordura,true
agrieta,false
bezotes,false
aportes,false
asistio,false
tesuras,false
esfotan,false
carabes,false
alboreo,true
ovulare,false
dividia,false
maneado,false
ornados,false
comales,false
huyesen,false
aguador,true
bercera,false
mastaba,false
enfuñes,false
amollad,false
duchare,false
opileis,false
pacoras,false
afianza,false
vierais,false
aduanan,false
asocian,false
atojaba,false
escandi,false
herbeci,false
vitaras,false
aluchad,false
jaiques,false
chachos,false
ventilo,false
colecta,true
belgico,false
opaques,false
chiveas,false
napeñas,false
fluyere,false
cansaba,false
convide,false
vienesa,false
ateismo,false
esbelta,false
arriata,false
septico,false
sopunto,false
afranco,false
artinas,false
arponea,false
agobien,false
corista,false
pondran,false
nadilla,false
fleches,false
piricas,false
amorran,false
mapease,false
fenican,false
labrase,false
teclead,false
ajirono,false
singaba,false
bordeas,false
emborne,false
balanos,false
otoñaba,false
equipas,false
samario,false
conreos,false
estovas,false
taledes,false
cabanga,true
piqueen,false
emitais,false
adehese,false
chirajo,true
carlita,false
torcere,false
revolco,false
prendas,false
parchar,false
leonera,true
sepelio,true
arderia,false
morcara,false
abastas,false
amugues,false
braseas,false
camotee,false
remelle,false
redorar,false
codorno,false
himplar,false
baratea,false
bicolor,false
benigna,false
niñeria,false
soleven,false
tasajee,false
angules,false
asolead,false
burlote,false
fluctue,false
tardios,false
diazoad,false
acharan,false
cotizan,false
anchura,true
pitihue,false
mantean,false
cebiles,false
mimaria,false
reflujo,true
revirad,false
atarean,false
loismos,false
enlices,false
aplaced,false
editara,false
ataires,false
airosos,false
segando,false
chacara,false
guanero,false
misaren,false
cocaran,false
cachilo,false
abromes,false
rotemos,false
ardemos,false
jacilla,false
farrear,true
endilgo,false
rosigas,false
horrais,false
