word,status
sopeais,null
nevaria,null
materas,true
dietais,null
tenutas,true
careton,null
fondeas,true
tanagra,true
soturno,true
exceded,true
tuteaba,true
cariñas,true
influis,null
enuclee,true
vaguees,true
carayes,true
riñones,true
rapados,null
airamos,true
popaste,true
exigida,true
ludidas,true
descosi,null
gustazo,true
vinaria,true
saudade,true
caverna,true
rustido,true
obviare,true
calates,true
ustible,true
veraneo,true
valuada,true
garbero,true
encimar,true
rotosos,true
diazoes,null
chupona,true
coicion,null
margene,true
lebruno,true
encurde,true
cotofre,true
aparten,true
rayente,true
sapinos,true
asieran,true
libaren,true
boquead,true
pesebre,true
proteja,true
agolpas,true
lanaria,true
mejorar,true
montara,true
cancela,true
recavad,true
bodoque,true
teorema,true
cagaria,null
coceaba,true
espinel,true
empatia,null
bagaban,true
hostias,null
coloren,true
relojea,true
dipneos,true
cometen,true
bubalas,null
estudie,true
humamos,true
losaron,true
vahajes,true
marlota,true
signeis,null
pilmama,true
sofaldo,true
tejuela,true
puquina,true
melaban,true
trinare,true
cocolon,null
cruzare,true
salteña,true
maximas,null
despejo,true
aproado,true
decuria,true
acanale,true
xantoma,true
testear,true
minaria,null
ricinos,true
acotare,true
ordeñan,true
guachos,true
factora,true
sosañas,true
tractor,true
atocino,true
fajasen,true
victima,true
invadio,null
silleta,true
inserid,true
zumosas,true
mayoral,true
mojaban,true
tumbaba,true
plañira,null
nieblas,true
pallara,true
nerolis,true
hallado,true
megaton,null
pingajo,true
alteran,true
hopaban,true
frisare,true
juraras,true
capines,true
releven,true
trizase,true
alcacer,true
rayesen,true
tumbado,true
crueles,true
teneria,null
geminad,true
asulcar,true
ubicuas,true
laudado,true
engulli,null
abogaba,true
bilmais,null
difumen,true
abobeis,null
potando,true
chistar,true
julepea,true
recales,true
carente,true
hermoso,true
trajean,true
esparce,true
retinen,true
urgente,true
titules,true
timbona,true
cimente,true
cucaria,null
capaceo,null
ecotada,true
bohemos,true
drenais,null
añedias,null
tendais,null
comelon,null
cimbado,true
repateo,true
flipara,true
arqueis,null
jetabas,null
recrien,null
dejugar,true
ritones,true
ambulan,true
planche,true
amainar,true
amasais,null
rajando,true
enhilas,true
atendes,null
apenada,true
recoses,true
caporos,true
oposite,true
retunda,true
istmeña,true
boceado,true
ideales,true
colicua,true
ollados,true
metetes,true
esquine,true
agravie,true
abantos,true
exordio,true
visivas,true
salmera,null
teneres,true
sacalas,null
girones,null
orinaba,true
rusalca,true
ganster,null
pocimas,null
anuteba,null
tesaria,null
afoques,true
vuestro,true
asteros,true
bornean,true
obtengo,true
bonitas,true
riereis,true
incisas,true
garlare,true
plagada,true
mitulos,null
gruiras,null
escoyos,true
cucheis,null
tuestes,null
marcean,true
paterno,true
similor,true
boludos,true
lisonja,true
detenga,true
aulicos,null
jetaban,null
sanctas,true
prendio,null
oliente,true
nebrina,true
multado,true
miquero,null
teleros,true
difilas,true
prosean,true
morrena,true
juntera,true
moquera,true
idearan,true
camambu,null
chuflan,null
chochee,true
bulboso,true
clorato,true
acosais,null
vedaste,true
pulsase,true
ceñiais,null
paponas,true
espuela,true
lezdero,true
pulleis,null
jobadas,true
asieron,true
agnosia,true
juicios,true
patanco,true
estopon,null
pajuces,true
treznas,true
endamen,true
claques,true
bateais,null
fragura,true
lanceis,null
batucar,true
fañaren,true
sotaste,null
achirla,true
envaque,null
censara,true
guanaba,null
velaran,true
adeliño,true
mezclen,true
timbees,true
jananas,true
doramos,true
entuñan,null
mayando,null
terread,true
tesones,true
patudos,true
circuyo,true
manejos,true
uvillas,true
apachan,true
sabidas,null
rilaron,true
guiñare,true
supiese,true
siquica,null
codujos,true
heredad,true
bravote,true
odiosas,true
atadora,true
grasura,true
potabas,true
amereis,null
copleas,true
enjutez,true
rebanco,true
serondo,true
tejases,true
alcafar,true
añorada,true
entallo,true
voznais,null
hamagos,null
alhorra,true
milocas,true
celaste,true
frañeis,null
quiasmo,true
cosenos,true
quinque,null
avenida,true
puyases,true
solevas,true
acerina,true
alatron,null
alegane,true
pareado,true
trancen,true
lectura,true
heriria,null
llaneen,true
orlaras,true
levigad,true
optaras,true
terrazo,true
anonima,null
amistad,true
tajeare,true
asierra,true
ganasen,true
rentosa,true
mantear,true
guasona,true
zuliana,true
relejen,true
hacinad,true
nublase,true
marucho,null
ascetas,true
podagra,true
cismado,null
corozas,true
cierran,true
alelara,true
reducid,true
cuñaria,null
añilado,true
titiaro,null
badalla,null
carlear,true
jimares,true
buscais,null
venimos,true
piraras,true
aqueran,null
batalan,null
macubas,true
redeñas,true
debatas,null
zollipe,true
orillos,true
reteses,true
suplias,null
ajicera,true
lagares,true
maganto,true
fusores,true
olviden,true
gratule,true
ensilas,true
sentian,null
bubulin,null
obyecto,true
solares,true
turquee,true
buzares,true
revidar,true
balaran,true
malpare,null
asinino,true
corales,true
apoques,true
tuerzan,true
