word,status
DICÓTOMO,false
EXPONER,false
DIFLUIR,false
CONCOLÓN,false
MEJORÍA,false
FREÍR,false
SENARIO,false
CONCEDER,false
EMPALAR,false
PERDER,false
CHOSPAR,false
PROFANAR,false
MALVÁCEO,false
ENTORAR,false
REFREGAR,false
CHIAR,false
CUEREAR,false
AGUAR,false
EMPALIZAR,false
PASEÍLLO,false
BICÉFALO,false
POSAR,false
BALEARIO,false
PEDIR,false
PARTIR,false
MACHUCÓN,false
CHISCAR,false
PIMENTÓN,false
ABAJAR,false
ENRUTAR,false
DESECAR,false
CERCAR,false
CARACOLÍ,false
ERÓGENO,false
MERECER,false
IGNÍFERO,false
RECULAR,false
CLERECÍA,false
CLOCAR,false
LIDIAR,false
PUYAR,false
ENARDECER,false
GAMBADO,false
FALLAR,false
RUAR,false
AGOLAR,false
CAUCHAR,false
ACEPAR,false
DESVAÍDO,false
CALDERA,false
ESTORBAR,false
DIFERIR,false
QUILMA,false
ULMÁCEO,false
PEER,false
POCOMAM,false
TRAER,false
FRAZADA,false
VACUNAR,false
GASÓGENO,false
ENLOZAR,false
RETINAR,false
DESHERBAR,false
ZAMBUTIR,false
DESPERNAR,false
EMPÍREO,false
REDARGÜIR,false
CULATEAR,false
IRRUMPIR,false
ATORAR,false
INVADIR,false
ESCAPAR,false
AVEZAR,false
DIBUJAR,false
ENDIÑAR,false
AOJAR,false
SUPONER,false
EGOFONÍA,false
BILIAR,false
VOZARRÓN,false
ATEÍSMO,false
JÁQUIMA,false
EVERTIR,false
MÉTRICO,false
TRILLAR,false
MALACIA,false
ÍNCIPIT,false
REQUEBRAR,false
EVADIR,false
YUQUERÍ,false
OBTENER,false
ARGUELLARSE,false
CONVENIO,false
PECTÍNEO,false
ANONIMIA,false
IMPEDIR,false
NEOTENIA,false
REHERVIR,false
ENFILAR,false
ACALLAR,false
BAMBEAR,false
GORGÓNEO,false
CLÁSTICO,false
CARDAR,false
NOTARIAR,false
ALÓFONO,false
DESALAR,false
PEDANÍA,false
FRAÑER,false
VIRÓSICO,false
GAFEAR,false
OBLIGAR,false
DESPISTE,false
ENLLENAR,false
CASAR,false
GRIETARSE,false
FARDERÍA,false
VENCER,false
AGREDIR,false
SARGENTA,false
HENCHIR,false
DAR,false
TROPELÍA,false
AURÍGERO,false
REÑIR,false
DECIR,false
APÓDOSIS,false
REBOZAR,false
RETEJER,false
DESABRIR,false
ARCAÍSMO,false
AMOBLAR,false
DESIDIA,false
RUMIAR,false
AMAINAR,false
ALFAR,false
BONHOMÍA,false
BAÑAR,false
OPONER,false
APOCAR,false
CUCHUFLÍ,false
FRANGIR,false
CUAJAR,false
INSOLAR,false
EXPANDIDO,false
RESPIGÓN,false
BAJONEAR,false
HUNDIR,false
PLASTRÓN,false
PEGUJAR,false
TROMPICO,false
MIGRAR,false
HELAR,false
ENHILAR,false
ENCELAR,false
PENAR,false
BANDOLÍN,false
ELEGIO,false
PERFUNDIR,false
CARECER,false
SALUDAR,false
ENCADARSE,false
SUCUMBIR,false
BUCÓLICO,false
BOSTICAR,false
SANGÜESO,false
LASCAR,false
ABOGAR,false
SUMERGIDO,false
FILILÍ,false
INFUNDIO,false
EXILIAR,false
RESONAR,false
COCHERÓN,false
SOLDAR,false
ACOSAR,false
NAMORAR,false
ESPÉLTEO,false
APEAR,false
REBITAR,false
ALANZAR,false
PANÍCULO,false
BUZAR,false
EMPAÑAR,false
HUIR,false
ABATANAR,false
BÁSTULO,false
ANTÓNIMO,false
PALMÁCEO,false
RESORBER,false
CIGÜEÑO,false
RESPIRAR,false
BETATRÓN,false
PRELUCIR,false
PESCAR,false
HISPIR,false
ABALLAR,false
AFISTULAR,false
ACENDRAR,false
ENCOÑARSE,false
NUBLAR,false
ENGOMAR,false
CIÁTICO,false
VOCERRÓN,false
SUSCRIBIR,false
CANELINA,false
ALZAR,false
TITÍMALO,false
RECOCER,false
CEBADAR,false
AFECTAR,false
HISOPAR,false
REARMAR,false
RETEÑIR,false
AMATERA,false
GUAJIRO,false
OPACAR,false
ARRIGIRSE,false
ADECUAR,false
CACHAR,false
BRUMAR,false
TIMAR,false
NARRAR,false
DEIFICAR,false
HIJEAR,false
ESPIAR,false
JABELGAR,false
GRISGRÍS,false
ASTURCÓN,false
BALÉNIDO,false
JETEAR,false
BUSIER,false
TAUCAR,false
REPETIR,false
ANIDAR,false
MULÉOLO,false
FARREAR,false
GNETÁCEO,false
ARGÜENDE,false
LUNARIO,false
EMBUTIR,false
MORDER,false
DRIBLAR,false
EQUIPAR,false
CURAR,false
ADAPTAR,false
CUÁQUERO,false
MALÉFICO,false
CUÑAR,false
DIVERTIR,false
GÁNDARA,false
BORUNDÉS,false
MÁRFAGA,false
LITÓFAGO,false
AGRESIÓN,false
RAPAR,false
ZANFONÍA,false
LAMER,false
FRUTEAR,false
MARMÓREO,false
AVENÍCEO,false
COPINAR,false
ESCURAR,false
CANTADO,false
CÍNGARO,false
ABALEAR,false
ATAR,false
ESTACIÓN,false
REENVIAR,false
AGESTIÓN,false
PROVEER,false
REFREÍR,false
MIOLOGÍA,false
OPRIMIDO,false
DEVENIR,false
ARÉVACO,false
GARRIDO,false
ACOLLAR,false
MATACUÁS,false
SUGERIR,false
OPILAR,false
INMISCUIR,false
BASAR,false
LEVÓGIRO,false
RETINGLAR,false
CISCAR,false
IRRITAR,false
BEDELÍA,false
BOTEAR,false
TURMEQUÉ,false
TANGIR,false
ECDÓTICO,false
FLETAR,false
ACARRALAR,false
DESISTIR,false
VERANEAR,false
DEGOLLAR,false
AFÁSICO,false
TULLIR,false
TREMOLÍN,false
GRITERÍA,false
RETOMAR,false
ROPÁLICO,false
IMPÚDICO,false
ASTREÑIR,false
PURGAR,false
GUANQUÍ,false
EMBAÍR,false
PÉRMICO,false
BACHEAR,false
PÓLDER,false
RALVAR,false
EXTENUAR,false
ARBOLAR,false
HERBARIO,false
ACOCHARSE,false
GRIFERÍA,false
CARGUÍO,false
TILINTE,false
EJERCER,false
ESPLENDER,false
ENANCARSE,false
AMECHAR,false
ROER,false
PAQUEAR,false
VALER,false
BAILAR,false
DESCAER,false
COCHEAR,false
VIRÓLOGO,false
DIÁDICO,false
ALOÉTICO,false
HIPÓLOGO,false
PEPENAR,false
SALTAR,false
ARGAYAR,false
TESTEAR,false
CACEAR,false
SACIAR,false
ABRAZAR,false
ASÉPTICO,false
COLISIÓN,false
PREMUNIR,false
MOFLEARSE,false
EDUCIR,false
AFOFARSE,false
BANCAR,false
FRAILUNO,false
CHÉCHERE,false
-ATARIO,false
FACTICIO,false
RELATAR,false
DESTORCER,false
OCTAVAR,false
HABITUAL,false
CAMBIZA,false
SOSAÑAR,false
CHUTAR,false
INHIBIR,false
GNOMÓNICO,false
CRIAR,false
CASACIÓN,false
CALMAR,false
ARENGAR,false
BRINDAR,false
PUTAÍSMO,false
AGRIPAR,false
ABURRIR,false
ENDÉCADA,false
POLÉMICO,false
VICHAR,false
TRANSMITIR,false
ACHACAR,false
CERTERÍA,false
VIAJAR,false
ANSA,false
ARAÑAR,false
APÓCIMA,false
EXENTAR,false
AHUCHAR,false
CHOLLAR,false
TERAPEAR,false
ABITAR,false
ARRANCÓN,false
CAPICATÍ,false
ENVARAR,false
NEGREAR,false
OPÍPARO,false
TITÁNICO,false
APEALAR,false
ABOGACÍA,false
LASTAR,false
ACARAR,false
DROGAR,false
RODEAR,false
ZAHORIAR,false
MASEAR,false
JUZGAR,false
CALVAR,false
ATACAR,false
LLOVER,false
ATREVER,false
PULLAR,false
MACEAR,false
CERTERO,false
NÓRDICO,false
CUANTIAR,false
REGOLDAR,false
BOCETAR,false
ZANGA,false
AFLUIR,false
CARIAR,false
VILLERÍA,false
FEDERAR,false
SALDAR,false
ENMARARSE,false
REMAR,false
ARRECIAR,false
RALEAR,false
FLIPAR,false
ESMUIR,false
PROSEAR,false
CUMULAR,false
TUTORAR,false
SAQUERÍA,false
DUCHAR,false
SALOMAR,false
AMUCHAR,false
INSUMIR,false
IGNORAR,false
REMETER,false
SILÍCICO,false
APIOLAR,false
ESBARIZAR,false
BRAMAR,false
BARAJUSTAR,false
INDICAR,false
ESCOTAR,false
AFIELAR,false
ESPÁTICO,false
AQUEJAR,false
ACAPIZARSE,false
ESPINAR,false
ENVERAR,false
TANTARÁN,false
SEGREGAR,false
CHUPETÍN,false
ENYESAR,false
BOCINAR,false
BRETEAR,false
JAMURAR,false
ENSEÑAR,false
FUEREÑO,false
COLGAR,false
REDITUAL,false
DOTAR,false
DISÉPALO,false
BECAR,false
ENTERCARSE,false
FLUCTUAR,false
AMOLDAR,false
PROHIBIR,false
ATURDIR,false
ALASTRAR,false
PAÑOL,false
DESHACER,false
CREER,false
MODILLÓN,false
PINZAR,false
NESTÓREO,false
BIRICÚ,false
RUMORAR,false
BETÓNICA,false
TRAGONÍA,false
CALACEAR,false
CHOPEAR,false
RECAER,false
DEZMERÍA,false
