word,status
embarcación,false
mezcla,false
pajero,false
coche,false
chiviento,false
flojo,false
satanás,false
vínculo,false
masada,false
confederación,false
fregar,false
botonazo,false
alquería,false
soldadura,false
luchar,false
cohesión,false
corchete,false
liza,false
pandilla,false
bajel,false
renguear,false
botonadura,false
dardo,false
entremetido,false
abrogar,false
sociedad,false
eliminar,false
corco,false
peñón,false
interruptor,false
revocar,false
eliminar,false
anular,false
fijón,false
curioso,false
agarrarse,false
escudo,false
diablo,false
nao,false
casamiento,false
amonestar,false
cuadrilla,false
cursar,false
sindicato,false
voyerista,false
aviar,false
engalanar,false
barco,false
mújol,false
trabazón,false
finca,false
liga,false
abrasar,false
regañar,false
átono,false
exánime,false
aliñar,false
roca,false
ánade,false
cotilla,false
amojonar,false
chivero,false
espectador,false
pelear,false
boletero,false
reconvenir,false
estriado,false
alianza,false
clavija,false
breca,false
adherencia,false
desecho,false
bañar,false
frágil,false
carro,false
decaído,false
albur,false
hermanamiento,false
raspar,false
desterrar,false
centella,false
rayado,false
invalidar,false
globero,false
remesar,false
reprender,false
sirifique,false
enclenque,false
aguzado,false
cabezudo,false
quemar,false
piedra,false
defensa,false
cotilla,false
amalgama,false
chiva,false
desperdicio,false
regañar,false
limpiar,false
bocón,false
curro,false
batidor,false
sermonear,false
batilana,false
patrocinio,false
peñasco,false
lijar,false
rebús,false
agur,false
punzante,false
diligenciar,false
tecla,false
lucifer,false
chicharrón,false
hitar,false
discutir,false
maridaje,false
quemar,false
abur,false
empalme,false
correspondencia,false
afilado,false
automático,false
mojonar,false
gestionar,false
boto,false
lavar,false
turón,false
blandengue,false
legrar,false
pegarse,false
unidad,false
endeble,false
panda,false
nave,false
tubería,false
chismoso,false
manyaoreja,false
rejús,false
borrar,false
despachar,false
brochón,false
coalición,false
pimpollo,false
disputar,false
tubo,false
lisa,false
facturar,false
boda,false
apoyo,false
desmadejado,false
chivato,false
nupcias,false
cancelar,false
pato,false
demonio,false
acuerdo,false
amparo,false
voyeur,false
mustélido,false
capitón,false
acicalar,false
mule,false
fusión,false
chao,false
fisgón,false
bota,false
limar,false
automóvil,false
fuñingue,false
mando,false
articulación,false
ataviar,false
higienizar,false
nexo,false
pulir,false
abroncar,false
cojear,false
fisgón,false
conformidad,false
arreglar,false
capullo,false
pulsador,false
abrasar,false
guayabo,false
cerro,false
llamador,false
enviar,false
adecentar,false
delator,false
consonancia,false
esponsales,false
canalado,false
enfrentarse,false
junta,false
increpar,false
protección,false
navío,false
caserío,false
extinguir,false
asociación,false
entrometido,false
aleación,false
mugle,false
broquel,false
curioso,false
máquina,false
