word,status
papás,false
plantas,false
descendientes,false
bolas,false
sombras,false
ideas,false
entradas,false
ascendientes,false
maneras,false
formas,false
pinzas,false
alicates,false
tintas,false
"agnus Dei",false
puntadas,false
CD,false
LP,false
enaguas,false
suiza,false
hechos,false
jaeces,false
guarniciones,false
angarillas,false
guías,false
Creador,false
Plasmador,false
Todopoderoso,false
Excelso,false
Padre,false
Providencia,false
mancuernas,false
rumorearse,false
pudrirse,false
entrañas,false
aguas,false
sobras,false
huellas,false
señales,false
ruinas,false
matices,false
aspas,false
partes,false
rebajas,false
embarazarse,false
enrabietarse,false
saconear,false
sonsacar,false
esputar,false
conturbar,false
cordial,false
ganzuar,false
discernimiento,false
réferi,false
árbitro,false
bocetar,false
tequio,false
incomodidad,false
asocio,false
abordable,false
emputarse,false
candelabro,false
cansancio,false
taponear,false
abocetar,false
patentar,false
asociamiento,false
federación,false
cachetear,false
taquearse,false
insultarse,false
trampear,false
matricular,false
gremio,false
bosquejar,false
consorcio,false
transportable,false
reiniciar,false
destaponar,false
intranquilo,false
defraudar,false
seso,false
fastidieta,false
mancomunidad,false
palmatoria,false
enrabiarse,false
recomenzar,false
tocapito,false
ladilla,false
procrear,false
sopapear,false
encachimbarse,false
descepar,false
repelar,false
buró,false
transbordar,false
ruidoso,false
quebrado,false
novedoso,false
bizcornear,false
pelagallos,false
estruendoso,false
teda,false
abrupto,false
cretino,false
inestable,false
quisnear,false
desasociable,false
atronador,false
atribuirse,false
descerrajar,false
entorchado,false
descuajar,false
desmajolar,false
desenclavar,false
vulnerar,false
desgajar,false
zahareño,false
oscilante,false
extirpar,false
desmatar,false
brisar,false
trencillo,false
estrepitoso,false
desarraigar,false
mesa,false
insocial,false
desraizar,false
erradicar,false
aplique,false
tejillo,false
mesilla,false
renovador,false
tornadizo,false
arrebatado,false
cachear,false
chequear,false
trasponer,false
subido,false
voluble,false
raro,false
desnortar,false
cumbear,false
estampida,false
galopada,false
delinquir,false
footing,false
conmemorar,false
peregueta,false
desubicarse,false
engolado,false
sorprendente,false
asombroso,false
descaminar,false
carrerilla,false
calabobos,false
indocto,false
planificar,false
inhabitual,false
equiparar,false
sensacional,false
desencaminar,false
atletismo,false
habilitar,false
aparejarse,false
chocante,false
insurreccionar,false
hostilizar,false
dejarse,false
impartir,false
tufoso,false
desmanchar,false
sublevar,false
solemnizar,false
crencha,false
insubordinar,false
partidura,false
gestar,false
macanudo,false
amotinar,false
correteo,false
jogging,false
pedestrismo,false
parear,false
discrepar,false
aparatoso,false
creído,false
reconciliación,false
aplicarse,false
congratularse,false
ajofaina,false
predisponer,false
prelado,false
letrilla,false
párroco,false
licenciatura,false
desubicar,false
fachoso,false
magistral,false
faramallero,false
concienciar,false
presbítero,false
chachi,false
listeza,false
apeadero,false
desperdigado,false
comprensión,false
esparcido,false
fachento,false
diplomatura,false
alabancioso,false
lucidez,false
resistirse,false
ostentoso,false
intercambiador,false
entrenar,false
volcarse,false
desenfreno,false
sumirse,false
avenencia,false
talentoso,false
complacerse,false
pertrecharse,false
agujetero,false
marginar,false
greguería,false
municipalidad,false
suplencia,false
arrigirse,false
agilidad,false
relevo,false
divorcio,false
acerico,false
ligazón,false
transbordo,false
paralizarse,false
ensamblaje,false
desvelar,false
atildar,false
gritadera,false
coordinación,false
retrotraerse,false
acople,false
rimero,false
periquera,false
vocerío,false
obsesionar,false
leitmotiv,false
sustitución,false
embotar,false
baldarse,false
alfiletero,false
insensibilizarse,false
densidad,false
cabildo,false
alarida,false
remplazo,false
emperejilar,false
connubio,false
emperifollar,false
fandango,false
tópico,false
continuación,false
pureza,false
impertinencia,false
revoltillo,false
propensión,false
higienización,false
limpiadura,false
mezcolanza,false
descortesía,false
acumulador,false
planchar,false
eyectar,false
lisura,false
desatención,false
descharchar,false
limpiada,false
batifondo,false
batería,false
apisonar,false
erguirse,false
zafiedad,false
albardilla,false
revoltijo,false
aplanar,false
leperada,false
limpia,false
licenciar,false
desechar,false
arrumbar,false
inocencia,false
barrido,false
ablución,false
saneamiento,false
desconexión,false
engrandecer,false
sistematizar,false
descostarse,false
bastedad,false
rebelar,false
amnistiar,false
expurgar,false
absolver,false
indemnizar,false
desarreglar,false
abocanar,false
descampar,false
consolar,false
relegar,false
condonar,false
confortar,false
deshollinar,false
recompensar,false
adecuar,false
sosería,false
metodizar,false
soliviantar,false
herencia,false
desligarse,false
transmisión,false
basteza,false
normalizar,false
íntima,false
regularizar,false
reclutar,false
finura,false
clasificar,false
tosquedad,false
galimatías,false
enjaquimar,false
enmendar,false
circunspección,false
procesar,false
reconstrucción,false
ponderación,false
acicalamiento,false
nombradía,false
malquistar,false
ensalzamiento,false
indisponer,false
cizañar,false
avío,false
palmas,false
chaladura,false
cuadral,false
cuadrante,false
restauración,false
desamigar,false
felicitación,false
reforma,false
palmeo,false
renovación,false
acusica,false
consagrar,false
encizañar,false
desamistarse,false
dragonear,false
sacrificar,false
gloriarse,false
acusador,false
génesis,false
afeite,false
plauso,false
mensajero,false
malmeter,false
palmoteo,false
acuseta,false
balacear,false
confinado,false
enaltecimiento,false
aprobación,false
horrorizar,false
áridos,false
remoto,false
ofrendar,false
fruncirse,false
cuijen,false
envalentonar,false
extraordinariamente,false
candonga,false
acojonar,false
hueste,false
estatal,false
cereales,false
oficial,false
gualicho,false
desmandarse,false
pateta,false
ratificar,false
horripilar,false
brindar,false
gubernamental,false
incoar,false
proscribir,false
milagro,false
apendejar,false
gubernativo,false
retirado,false
aterrorizar,false
escamar,false
fantásticamente,false
sabido,false
anonadar,false
travesero,false
pecado,false
disgregar,false
prever,false
entretener,false
solazar,false
auditorio,false
desparramarse,false
predecir,false
distraer,false
divertir,false
eminencia,false
recrear,false
olerse,false
afrenta,false
birra,false
resignar,false
chanada,false
ultraje,false
hodierno,false
recomendación,false
constiparse,false
material,false
oprobio,false
congratular,false
chasco,false
gestarse,false
descontentar,false
acatarrarse,false
sabelección,false
refriarse,false
abjurar,false
cardamina,false
chinchorrear,false
candiota,false
enchinchar,false
desavahar,false
denostación,false
relamerse,false
vejación,false
pergeño,false
refrigerar,false
resfriarse,false
avituallar,false
baldón,false
fletarse,false
simultáneo,false
agravio,false
encontentar,false
puteada,false
adaptar,false
incautar,false
improperio,false
convoyar,false
positivo,false
sincrónico,false
cariparejo,false
mitigarse,false
enrarecerse,false
tardanaos,false
salvaguardia,false
guaicán,false
pegador,false
churumbela,false
empinado,false
cómodamente,false
desencadenar,false
rémora,false
preponderar,false
amargado,false
encontentarse,false
entibiarse,false
agriado,false
conciliar,false
apostura,false
buenamente,false
gracieta,false
irritable,false
apático,false
zullarse,false
arriscado,false
impertérrito,false
sencillamente,false
espoleta,false
cachimbo,false
malhumorado,false
ventearse,false
impermeable,false
cachimba,false
desinteresar,false
reconciliarse,false
presumible,false
balero,false
inmundicia,false
formalidad,false
ancianato,false
seccionamiento,false
desparpajarse,false
tintinar,false
apretado,false
detallar,false
empeorar,false
mutilación,false
paradero,false
abusarse,false
emboque,false
improbable,false
capirucho,false
asolar,false
señas,false
previsible,false
hermosear,false
avispar,false
alentarse,false
roya,false
delantero,false
modernizar,false
viable,false
armadura,false
enchute,false
coimear,false
desvariar,false
asonada,false
bómper,false
triunfador,false
coartada,false
demostrable,false
serenarse,false
exponerse,false
pronunciamiento,false
salvaguarda,false
exculpación,false
subida,false
edificación,false
paragolpes,false
negociado,false
victorioso,false
disculpa,false
tragonear,false
seguirse,false
parachoques,false
muralla,false
insurgencia,false
producirse,false
barricada,false
erección,false
vencedor,false
verificable,false
esclavizar,false
supresión,false
excusa,false
enorgullecer,false
abonanzar,false
hisopear,false
honrar,false
alzamiento,false
moho,false
pulpear,false
guitonear,false
patinar,false
brujulear,false
palomillear,false
vagamundear,false
merodear,false
ajustador,false
cabalgador,false
escamarse,false
coquetería,false
sollispar,false
equitador,false
tufear,false
barraganería,false
presagiar,false
cucurucho,false
abracar,false
furuminga,false
fastigio,false
corpiño,false
pesquis,false
corsé,false
tusilago,false
tonteo,false
dragoneo,false
amoscar,false
galanteo,false
affaire,false
abarraganamiento,false
carajal,false
margallate,false
chuchoca,false
triscar,false
escamonearse,false
amancebamiento,false
adulón,false
papada,false
chafardero,false
avaricia,false
chercha,false
ridiculez,false
adulete,false
hendija,false
fisura,false
rendija,false
cuentista,false
egoísmo,false
desviamiento,false
boquete,false
hendedura,false
resquebrajadura,false
agonizar,false
correveidile,false
terminarse,false
bachata,false
roñosería,false
acabarse,false
sandunga,false
brecha,false
originalidad,false
cicatería,false
intersticio,false
lambón,false
caballeroso,false
confesión,false
amoldar,false
atornillar,false
remachar,false
zaragata,false
tremolina,false
apertura,false
abierta,false
atrincar,false
sarcástico,false
irónico,false
desatasco,false
hornaguera,false
desproporcionar,false
escotilla,false
congestión,false
emboscada,false
agarrada,false
satírico,false
corrosivo,false
deparar,false
trampilla,false
promediar,false
atascamiento,false
encepar,false
malévolo,false
profilaxis,false
compensar,false
resabiar,false
asolearse,false
estancamiento,false
prevalerse,false
taponamiento,false
cáustico,false
mojarse,false
exprimir,false
antracita,false
portillo,false
incisivo,false
encerrona,false
descarriar,false
desinfección,false
obstrucción,false
armadijo,false
encapricharse,false
envanecer,false
simplificar,false
remembranza,false
inflamar,false
involucrar,false
trancón,false
embravecerse,false
recuerdo,false
extractar,false
engreír,false
sintetizar,false
